"State","City","lon","lat"
"AR","Fayetteville",-94.1574263,36.0625795
"AR","Siloam Springs",-94.5404962,36.1881365
"AZ","Avondale",-112.3496021,33.4355977
"AZ","Chandler",-111.8412502,33.3061605
"AZ","Phoenix",-112.0740373,33.4483771
"AZ","Prescott Valley ",-112.315721,34.6100243
"AZ","Scottsdale",-111.9260519,33.4941704
"CO","Arvada",-105.0874842,39.8027644
"CO","Centennial",-104.8771726,39.5807452
"IA","Mason City",-93.2010367,43.1535728
"LA","Baton Rouge",-91.1403196,30.4582829
"MA","Methuen ",-71.1908924,42.7262016
"MA","Taunton",-71.0897674,41.900101
"MS","Water Valley",-89.6314736,34.1514989
"NM","Clovis",-103.2052272,34.4047987
"NM","Espanola",-106.0818233,35.9910383
"OK","Claremore",-95.61609,36.3125963
"OK","Moore",-97.4867028,35.3395079
"OK","Newcastle",-97.59976,35.2472869
"OK","Norman",-97.4394777,35.2225668
"OK","Oklahoma City",-97.5164276,35.4675602
"TX","Rosenberg",-95.8085623,29.5571825
"TX","The Woodlands",-95.4612625,30.1658207
"TX","Waco",-97.1466695,31.549333
"VA","Colonial Heights",-77.4102607,37.244039
"AR","Ashdown ",-94.1313054,33.6742867
"AZ","Cottonwood",-112.0098791,34.7391876
"AZ","Mesa",-111.8314724,33.4151843
"AZ","Sedona",-111.7609896,34.8697395
"IA","Algona",-94.233019,43.0699663
"LA","Shreveport",-93.7501789,32.5251516
"MA","Brockton",-71.0183787,42.0834335
"MA","Fall River",-71.1550451,41.7014912
"MA","Southbridge",-72.0333905,42.0751065
"MI","Clio",-83.7341274,43.1775256
"MN","BLOOMINGTON",-93.2982799,44.840798
"NC","Raleigh",-78.6381787,35.7795897
"OK","Del City",-97.4408698,35.4420062
"OK","Edmond",-97.4780954,35.6528323
"OK","Tulsa",-95.992775,36.1539816
"OK","Tulsa ",-95.992775,36.1539816
"OK","Yukon",-97.7625441,35.5067215
"SC","Orangeburg",-80.8556476,33.4918203
"TN","Soddy Daisy",-85.1907904,35.2359025
"TX","Abilene",-99.7331439,32.4487364
"TX","Atlanta",-94.1643537,33.1137419
"TX","Conroe",-95.4560512,30.3118769
"TX","Dallas",-96.7969879,32.7766642
"TX","Kingwood",-95.1902986,30.0575359
"TX","Marshall",-94.3674184,32.5448714
"WI","Madison",-89.4012302,43.0730517
"AR","Gravette",-94.4535484,36.4220207
"AZ","Tempe",-111.9400054,33.4255104
"FL","Tampa",-82.4571776,27.950575
"IA","Marion",-91.5968958,42.033279
"NM","Albuquerque",-106.6055534,35.0853336
"TX","Friendswood",-95.2010447,29.5293998
"TX","Georgetown",-97.6779842,30.6332618
"TX","Montgomery",-95.6963355,30.3882613
"AR","Bentonville",-94.2088172,36.3728538
"AR","Springdale ",-94.1288141,36.1867442
"AZ","Casa Grande",-111.7573521,32.8795022
"NC","Gastonia",-81.1873005,35.262082
"TX","Cedar Park",-97.8202888,30.505198
"TX","Decatur",-97.5861393,33.2342834
"TX","Fort Worth ",-97.3307658,32.7554883
"TX","Longview",-94.7404891,32.5007037
"TX","Texarkana",-94.0476882,33.425125
"VA","Fredericksburg",-77.4605399,38.3031837
"WI","Richland Center",-90.3867928,43.3347053
"WI","Verona",-89.5331773,42.990831
"TX","Round Rock",-97.678896,30.5082551
"AZ","Prescott",-112.4685025,34.5400242
"AZ","Tucson",-110.926479,32.2217429
"CO","Golden",-105.2210997,39.755543
"OK","Midwest City",-97.3967019,35.4495065
"IA","Cedar Rapids",-91.6656232,41.9778795
"MA","Norwood",-71.1989695,42.1943909
"AZ","Mesa ",-111.8314724,33.4151843
"IA","Hiawatha",-91.6815252,42.0491958
"IA","Iowa Falls",-93.2645741,42.5198868
"NC","Shelby",-81.5356463,35.2923513
"TX","Houston",-95.3698028,29.7604267
"TX","Marble Falls",-98.2728003,30.5782446
"CO","Longmont",-105.1019275,40.1672068
"IA","New Hampton",-92.317864,43.0592724
"MN","Rogers",-93.5525206,45.1878015
"TX","Needville",-95.8377297,29.3994101
"AR","Texarkana",-94.0376881,33.4417915
"AZ","Phoenix ",-112.0740373,33.4483771
"NC","Cary ",-78.7811169,35.79154
"MA","Brighton",-71.1626756,42.3463503
"TX","Frisco",-96.8236116,33.1506744
"CO","Broomfield",-105.0866504,39.9205411
"SC","Santee",-80.4864764,33.4751634
"NC","Garner",-78.6141709,35.7112642
"AZ","Glendale",-112.1859866,33.5386523
"IA","Osage",-92.8190838,43.2841382
"TX","Haslet",-97.3477957,32.9748469
"AR","Little Rock",-92.2895948,34.7464809
"MN","Rush City",-92.9654903,45.6855144
"TX","Keller",-97.229298,32.9341893
"WI","Belleville",-89.5381766,42.8597241
"AR","Prairie Gove",-94.3177103,35.9759145
"MA","Haverhill",-71.0772796,42.7762015
"MI","Grand Rapids",-85.6680863,42.9633599
"OK","Bartlesville",-95.9808179,36.7473114
"AR","Fayetteville ",-94.1574263,36.0625795
"TX","New Braunfels",-98.1244531,29.7030024
"IA","Ackley",-93.0529775,42.555534
"OK","Stillwater",-97.0583681,36.1156071
